,DateTime,Open,High,Low,Close
0,2018-06-18,275.49,276.7,274.95,276.56
1,2018-06-19,274.0,275.75,273.53,275.5
2,2018-06-20,276.27,276.72,275.59,275.97
3,2018-06-21,275.96,275.98,273.68,274.24
4,2018-06-22,275.66,275.79,274.49,274.74
5,2018-06-25,273.44,273.62,269.1,271.0
6,2018-06-26,271.64,272.56,270.79,271.6
7,2018-06-27,272.26,273.87,269.18,269.35
8,2018-06-28,269.29,271.75,268.49,270.89
9,2018-06-29,272.12,273.66,271.19,271.28
10,2018-07-02,269.51,272.04,269.24,271.86
11,2018-07-03,272.87,272.98,270.42,270.9
12,2018-07-05,272.16,273.18,270.96,273.11
13,2018-07-06,273.14,275.84,272.71,275.42
14,2018-07-09,276.55,277.96,276.5,277.9
15,2018-07-10,278.41,279.01,278.08,278.9
16,2018-07-11,277.14,278.04,276.52,276.86
17,2018-07-12,278.27,279.43,277.6,279.37
18,2018-07-13,279.19,279.93,278.66,279.59
19,2018-07-16,279.64,279.81,278.84,279.34
20,2018-07-17,278.47,280.91,278.41,280.47
21,2018-07-18,280.59,281.18,280.06,281.06
22,2018-07-19,280.31,280.74,279.46,280.0
23,2018-07-20,279.76,280.48,279.5,279.68
24,2018-07-23,279.45,280.43,279.06,280.2
25,2018-07-24,281.79,282.56,280.63,281.61
26,2018-07-25,281.33,284.37,281.28,284.01
27,2018-07-26,283.21,284.11,283.09,283.34
28,2018-07-27,283.71,283.82,280.38,281.42
29,2018-07-30,281.49,281.69,279.36,279.95
30,2018-07-31,280.81,282.02,280.38,281.33
31,2018-08-01,281.56,282.13,280.13,280.86
32,2018-08-02,279.38,282.58,279.16,282.39
33,2018-08-03,282.53,283.65,282.33,283.6
34,2018-08-06,283.56,284.99,283.2,284.64
35,2018-08-07,285.39,286.01,285.24,285.58
36,2018-08-08,285.39,285.91,284.94,285.46
37,2018-08-09,285.53,285.97,284.91,285.07
38,2018-08-10,283.45,284.06,282.36,283.16
39,2018-08-13,283.47,284.16,281.77,282.1
40,2018-08-14,282.92,284.17,282.05,283.9
41,2018-08-15,282.38,282.54,280.16,281.78
42,2018-08-16,283.4,285.04,283.36,284.06
43,2018-08-17,283.83,285.57,283.37,285.06
44,2018-08-20,285.57,285.97,285.06,285.67
45,2018-08-21,286.24,287.31,286.1,286.34
46,2018-08-22,285.88,286.76,285.57,286.17
47,2018-08-23,285.97,286.94,285.43,285.79
48,2018-08-24,286.44,287.67,286.38,287.51
49,2018-08-27,288.86,289.9,288.68,289.78
50,2018-08-28,290.3,290.42,289.4,289.92
51,2018-08-29,290.16,291.74,289.88,291.48
52,2018-08-30,290.94,291.36,289.63,290.3
53,2018-08-31,289.84,290.81,289.29,290.31
54,2018-09-04,289.84,290.21,288.68,289.84
55,2018-09-05,289.41,289.64,287.89,289.03
56,2018-09-06,289.15,289.49,287.0,288.16
57,2018-09-07,286.99,288.7,286.71,287.6
58,2018-09-10,288.76,289.04,287.88,288.1
59,2018-09-11,287.37,289.55,286.97,289.05
60,2018-09-12,289.06,289.8,288.23,289.12
61,2018-09-13,290.32,291.04,289.99,290.83
62,2018-09-14,291.06,291.27,290.0,290.88
63,2018-09-17,290.82,290.86,289.03,289.34
64,2018-09-18,289.57,291.58,289.55,290.91
65,2018-09-19,290.97,291.69,290.82,291.22
66,2018-09-20,292.64,293.94,292.51,293.58
67,2018-09-21,293.09,293.22,291.81,291.99
68,2018-09-24,291.34,291.5,290.37,291.02
69,2018-09-25,291.53,291.65,290.48,290.75
70,2018-09-26,290.92,292.24,289.41,289.88
71,2018-09-27,290.44,291.91,290.1,290.69
72,2018-09-28,289.99,291.28,289.95,290.72
73,2018-10-01,292.13,292.93,290.98,291.73
74,2018-10-02,291.56,292.36,291.14,291.56
75,2018-10-03,292.72,293.21,291.32,291.72
76,2018-10-04,291.18,291.24,287.66,289.44
77,2018-10-05,289.69,290.27,286.22,287.82
78,2018-10-08,287.04,288.22,285.5,287.82
79,2018-10-09,287.39,288.86,286.77,287.4
80,2018-10-10,286.83,286.91,277.88,278.3
81,2018-10-11,277.08,278.9,270.36,272.17
82,2018-10-12,276.77,277.09,272.37,275.95
83,2018-10-15,275.55,277.04,274.3,274.4
84,2018-10-16,276.57,280.82,276.07,280.4
85,2018-10-17,280.44,281.15,277.56,280.45
86,2018-10-18,279.4,280.07,274.97,276.4
87,2018-10-19,277.12,279.3,275.47,276.25
88,2018-10-22,277.0,277.36,274.41,275.01
89,2018-10-23,270.94,274.87,268.61,273.61
90,2018-10-24,273.33,273.76,264.7,265.32
91,2018-10-25,267.37,271.81,266.23,270.08
92,2018-10-26,265.92,271.0,262.29,265.33
93,2018-10-29,268.78,270.25,259.85,263.86
94,2018-10-30,263.67,268.12,263.12,267.77
95,2018-10-31,270.65,273.23,270.12,270.63
96,2018-11-01,271.62,273.73,270.38,273.51
97,2018-11-02,274.74,275.23,269.59,271.89
98,2018-11-05,272.44,274.01,271.35,273.39
99,2018-11-06,273.32,275.3,273.25,275.12
100,2018-11-07,277.56,281.1,277.08,281.01
101,2018-11-08,280.14,281.22,279.22,280.5
102,2018-11-09,279.03,279.24,276.18,277.76
103,2018-11-12,277.15,277.46,271.99,272.57
104,2018-11-13,273.06,275.33,271.25,272.06
105,2018-11-14,274.14,274.61,268.45,270.2
106,2018-11-15,268.78,273.54,267.01,273.02
107,2018-11-16,271.79,274.75,271.21,273.73
108,2018-11-19,273.05,273.38,266.74,269.1
109,2018-11-20,265.37,267.0,263.15,264.12
110,2018-11-21,265.86,267.15,265.01,265.02
111,2018-11-23,263.18,264.83,263.07,263.25
112,2018-11-26,265.78,267.75,265.34,267.5
113,2018-11-27,266.34,268.4,265.66,268.4
114,2018-11-28,269.6,274.58,268.53,274.58
115,2018-11-29,273.71,275.55,272.43,273.98
116,2018-11-30,273.81,276.28,273.45,275.65
117,2018-12-03,280.26,280.4,277.5,279.3
118,2018-12-04,278.37,278.85,269.9,270.25
119,2018-12-06,265.92,269.97,262.44,269.84
120,2018-12-07,269.46,271.22,262.63,263.57
121,2018-12-10,263.37,265.17,258.62,264.07
122,2018-12-11,267.66,267.87,262.48,264.13
123,2018-12-12,267.47,269.0,265.37,265.46
124,2018-12-13,266.51,267.49,264.12,265.37
125,2018-12-14,262.96,264.03,259.85,260.47
126,2018-12-17,259.43,260.65,253.52,255.36
127,2018-12-18,257.19,257.95,253.28,255.08
128,2018-12-19,255.17,259.4,249.35,251.26
129,2018-12-20,249.86,251.62,244.65,247.17
130,2018-12-21,246.72,249.71,239.98,240.7
131,2018-12-24,239.03,240.29,234.31,234.34
132,2018-12-26,235.97,246.18,233.76,246.18
133,2018-12-27,242.57,248.17,238.96,248.07
134,2018-12-28,249.58,251.4,246.45,247.75
135,2018-12-31,249.56,250.16,247.47,249.92
136,2019-01-02,245.98,251.21,245.95,250.18
137,2019-01-03,248.26,248.57,243.67,244.21
138,2019-01-04,247.59,253.11,247.17,252.39
139,2019-01-07,252.69,255.95,251.69,254.38
140,2019-01-08,256.82,257.31,254.0,256.77
141,2019-01-09,257.55,258.91,256.19,257.97
142,2019-01-10,256.3,259.16,255.5,258.88
143,2019-01-11,257.68,258.98,257.03,258.98
144,2019-01-14,256.86,258.3,256.41,257.4
145,2019-01-15,257.82,260.7,257.81,260.35
146,2019-01-16,260.83,261.97,260.6,260.98
147,2019-01-17,260.01,263.92,259.96,262.96
148,2019-01-18,264.98,266.98,264.1,266.46
